Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
Static DOM Event Dependency Analysis for Testing Web Applications;FSE2016_30;yes;no;;;
On-Demand Strong Update Analysis via Value-Flow Refinement;FSE2016_31;yes;no;;;
Call Graph Construction for Java Libraries;FSE2016_32;yes;no;;;
Revamping JavaScript Static Analysis via Localization and Remediation of Root Causes of Imprecision;FSE2016_33;yes;no;;;
What Would Users Change in My App? Summarizing App Reviews for Recommending Software Changes;FSE2016_34;yes;yes;na;Evaluation of summarized app reviews;
Designing Minimal Effective Normative Systems with the Help of Lightweight Formal Methods;FSE2016_35;yes;no;;;
API Code Recommendation using Statistical Learning from Fine-Grained Changes;FSE2016_36;yes;no;;;
Proceedings Template - WORD;FSE2016_37;yes;yes;na;Expert interview/feedback;
Interactive and Guided Architectural Refactoring with Search-Based Recommendation;FSE2016_38;yes;yes;a;Evaluation of refactoring tool, two groups: with/without tool, only a single task;Single refactoring task on their system
Can Testedness be Effectively Measured?;FSE2016_39;yes;no;;;
Discovering Bug Patterns in JavaScript;FSE2016_4;yes;no;;;
A Large-Scale Empirical Comparison of Static and Dynamic Test Case Prioritization Techniques;FSE2016_40;yes;no;;;
Analyzing the Validity of Selective Mutation with Dominator Mutants;FSE2016_41;yes;no;;;
An Extensive Study of Static Regression Test Selection in Modern Software Evolution;FSE2016_42;yes;no;;;
PerfGuard: Binary-Centric Application Performance Monitoring in Production Environments;FSE2016_43;yes;no;;;
Python Probabilistic Type Inference with Natural Language Support;FSE2016_44;yes;no;;;
fse-xie.pdf;FSE2016_45;yes;no;;;
Detecting and Fixing Precision-Specific Operations for Measuring Floating-Point Errors;FSE2016_46;yes;no;;;
Deep API Learning;FSE2016_47;yes;no;;;
Build System with Lazy Retrieval for Java Projects;FSE2016_48;yes;no;;;
iGen: Dynamic Interaction Inference for Configurable Software;FSE2016_49;yes;no;;;
Effort-Aware Just-in-Time Defect Prediction: Simple Unsupervised Models Could Be Better Than Supervised Models;FSE2016_5;yes;no;;;
CacheOptimizer: Helping Developers Configure Caching Frameworks for Hibernate-Based Database-Centric Web Applications;FSE2016_50;yes;no;;;
BinGo: Cross-Architecture Cross-OS Binary Search;FSE2016_51;yes;no;;;
Proceedings Template - WORD;FSE2016_52;yes;no;;;
Code Relatives: Detecting Similarly Behaving Software;FSE2016_53;yes;no;;;
Understanding and Generating High Quality Patches for Concurrency Bugs;FSE2016_54;yes;no;;;
Anti-patterns in Search-Based Program Repair;FSE2016_55;yes;no;;;
A Cross-Tool Communication Study on Program Analysis Tool Notifications;FSE2016_56;yes;yes;na;Exploratory study;
Semi-supervised Verified Feedback Generation;FSE2016_57;yes;no;;;
WATERFALL: An Incremental Approach for Repairing Record-Replay Tests of Web Applications;FSE2016_58;yes;no;;;
doc.pdf;FSE2016_59;yes;yes;s;Two experiments regarding efficiency of projectional/parser-based editors, results and discussion on individual task bases;4 common code-editing activities in C
...;FSE2016_6;yes;no;;;
ECHO: Instantaneous In Situ Race Detection in the IDE;FSE2016_60;yes;no;;;
Proceedings Template - WORD;FSE2016_61;yes;no;;;
Flow-Sensitive Composition of Thread-Modular Abstract Interpretation;FSE2016_62;yes;no;;;
A Deployable Sampling Strategy for Data Race Detection;FSE2016_63;yes;no;;;
Online Shared Memory Dependence Reduction via Bisectional Coordination;FSE2016_64;yes;no;;;
Parallel Data Race Detection for Task Parallel Programs with Locks;FSE2016_65;yes;no;;;
Paradise Unplugged: Identifying Barriers for Female Participation on Stack Overflow;FSE2016_66;yes;yes;na;Interviews/survey;
Factors Influencing Code Review Processes in Industry;FSE2016_67;yes;yes;na;Grounded theory;
Why We Refactor? Confessions of GitHub Contributors;FSE2016_68;yes;yes;na;Feedback;
Effectiveness of Code Contribution: From Patch-Based to Pull-Request-Based Tools;FSE2016_69;yes;no;;;
Multi-representational Security Analysis;FSE2016_7;yes;no;;;
sig-alternate.pdf;FSE2016_70;yes;no;;;
perf.eps;FSE2016_71;yes;no;;;
Field-Exhaustive Testing;FSE2016_72;yes;no;;;
Microsoft Word - fse16-valueAndCosts-2016-10-20_0900_correctedCameraReady2.docx;FSE2016_73;yes;yes;na;Think-aloud;
WebRanz: Web Page Randomization for Better Advertisement Delivery and Web-Bot Prevention;FSE2016_8;yes;no;;;
A Discrete-Time Feedback Controller for Containerized Cloud Applications;FSE2016_9;yes;no;;;
Loopster: Static Loop Termination Analysis;FSE2017_1;yes;no;;;
CodeCarbonCopy;FSE2017_10;yes;no;;;
Using Bad Learners to Find Good Configurations;FSE2017_11;yes;no;;;
Trade-Offs in Continuous Integration:Assurance, Security, and Flexibility;FSE2017_12;yes;yes;na;Interviews/survey;
Cimplifier: Automatically Debloating Containers;FSE2017_13;yes;no;;;
The Power of ``Why'' and ``Why Not'':  Enriching Scenario Exploration with Provenance;FSE2017_14;yes;no;;;
Finding Near-Optimal Configurations in Product Lines by Random Sampling;FSE2017_15;yes;no;;;
 Better Test Cases for Better Automated Program Repair;FSE2017_16;yes;no;;;
Enabling Mutation Testing for Android Apps;FSE2017_17;yes;no;;;
More Accurate Recommendations for Method-Level Changes;FSE2017_18;yes;no;;;
Fairness Testing: Testing Software for Discrimination;FSE2017_19;yes;no;;;
Toward Full Elasticity in Distributed Static Analysis:The Case of Callgraph Analysis;FSE2017_2;yes;no;;;
Model-Level, Platform-Independent Debugging in the  Context of the Model-Driven Development of Real-Time Systems;FSE2017_20;yes;no;;;
Discovering Relational Specifications;FSE2017_21;yes;no;;;
The Care and Feeding of Wild-Caught Mutants;FSE2017_22;yes;no;;;
Counterexample-Guided Approach to Finding  Numerical Invariants ;FSE2017_23;yes;no;;;
ARTINALI: Dynamic Invariant Detection for Cyber-Physical System Security;FSE2017_24;yes;no;;;
Kmax: Finding All Configurations of Kbuild Makefiles Statically;FSE2017_25;yes;no;;;
Bayesian Specification Learning for Finding API Usage Errors;FSE2017_26;yes;no;;;
Detecting Missing Information in Bug Descriptions;FSE2017_27;yes;no;;;
Automatic Generation of Inter-Component Communication Exploits for Android Applications;FSE2017_28;yes;no;;;
On the Scalability of Linux Kernel Maintainers' Work;FSE2017_29;yes;no;;;
A Feasibility Study of Using Automated Program Repair for  Introductory Programming Assignments;FSE2017_3;yes;yes;both;Evaluation of program repair tool for student submissions, two perspectives: from the grader and the students, some results individually (Fig. 6), but mostly on average;two sets of 22/21 buggy submissions that had to be fixed
Measuring the Cost of Regression Testing in Practice:A Study of Java Projects using Continuous Integration;FSE2017_30;yes;no;;;
Adaptively Generating High Quality Fixes for Atomicity Violations;FSE2017_31;yes;yes;na;Questionnaire of preference;
main.pdf;FSE2017_32;yes;no;;;
Are Deep Neural Networks the Best Choice[2] for Modeling Source Code?;FSE2017_33;yes;no;;;
LAMP: Data Provenance for Graph Based Machine Learning Algorithms through Derivative Computation;FSE2017_34;yes;no;;;
Reproducing Concurrency Failures from Crash Stacks;FSE2017_35;yes;no;;;
Understanding the Impact of Support for Iteration on Code Search;FSE2017_36;yes;yes;s;Evaluation of two novel code search engines, visualization, results, discussion on individual search tasks;8 different search tasks (broad/narrow)
A Symbolic Justice Violations Transition System for Unrealizable GR(1) Specifications;FSE2017_37;yes;no;;;
OASIS: Prioritizing Static Analysis Warnings for Android Apps Based on App User Reviews;FSE2017_38;yes;no;;;
Steelix: Program-State Based Binary Fuzzing;FSE2017_39;yes;no;;;
Synergistic Debug-Repair of Heap Manipulations;FSE2017_4;yes;no;;;
BDCI: Behavioral Driven Conflict Identification;FSE2017_40;yes;no;;;
Regression Test Selection Across JVM Boundaries;FSE2017_41;yes;no;;;
Guided, Stochastic Model-Based GUI Testing of Android Apps;FSE2017_42;yes;no;;;
Modeling and Verification of Evolving Cyber-Physical Spaces;FSE2017_43;yes;no;;;
Automatically Diagnosing and Repairing  Error Handling Bugs in C;FSE2017_44;yes;no;;;
Probabilistic Model Checking of Perturbed MDPs  with Applications to Cloud Computing;FSE2017_45;yes;no;;;
NoFAQ: Synthesizing Command Repairs from Examples;FSE2017_46;yes;no;;;
Continuous Variable-Specific Resolutions of Feature Interactions;FSE2017_47;yes;no;;;
Constraint Normalization and Parameterized Caching for Quantitative Program Analysis;FSE2017_48;yes;no;;;
Generalized Observational Slicing for Tree-Represented Modelling Languages;FSE2017_49;yes;no;;;
Understanding Misunderstandings in Source Code;FSE2017_5;yes;no;no;Online comprehension task to evaluate atoms of confusion in code;Answer comprehension question
CodeMatch: Obfuscation Won't Conceal Your Repackaged App;FSE2017_50;yes;no;;;
AtexRace: Across Thread and Execution Sampling for In-House Race Detection;FSE2017_51;yes;no;;;
Automatically Analyzing Groups of Crashes  for Finding Correlations;FSE2017_52;yes;no;;;
Craig vs. Newton in Software Model Checking;FSE2017_53;yes;no;;;
On Evidence Preservation Requirements for Forensic-Ready Systems;FSE2017_54;yes;no;;;
S3: Syntax- and Semantic-Guided Repair Synthesis via Programming by Examples;FSE2017_55;yes;no;;;
Thread-Modular Static Analysis for Relaxed Memory Models;FSE2017_56;yes;no;;;
µDroid: An Energy-Aware Mutation Testing Framework for Android;FSE2017_57;yes;no;;;
Symbolic Execution of Programmable Logic Controller Code;FSE2017_58;yes;no;;;
Why Modern Open Source Projects Fail;FSE2017_59;yes;yes;na;survey;
Cooperative Kernels: GPU Multitasking for Blocking Algorithms;FSE2017_6;yes;no;;;
Automated Control of Multiple Software Goalsusing Multiple Actuators;FSE2017_60;yes;no;;;
A Compiler and Verifier for Page Access Oblivious Computation;FSE2017_61;yes;no;;;
Failure-Directed Program Trimming;FSE2017_62;yes;no;;;
PATDroid: Permission-Aware GUI Testing of Android;FSE2017_63;yes;no;;;
Attributed Variability Models: Outside the Comfort Zone;FSE2017_64;yes;no;;;
Is There a Mismatch between Real-World Feature Models and Product-Line Research?;FSE2017_65;yes;no;;;
Automatic Inference of Code Transforms for Patch Generation;FSE2017_66;yes;no;;;
A Fast Causal Profiler for Task Parallel Programs;FSE2017_67;yes;yes;av;Tiny part to evaluate usability of performance tool;Identify problematic part of four codes causing bottleneck
Where Is the Bug and How Is It Fixed? An Experiment with Practitioners;FSE2017_68;yes;yes;na;Large experiment >2-3 days working time;Find bugs
Easy over Hard: A Case Study on Deep Learning;FSE2017_69;yes;no;;;
 DESCRY: Reproducing System-Level Concurrency Failures ;FSE2017_7;yes;no;;;
Revisiting Unsupervised Learning for Defect Prediction;FSE2017_70;yes;no;;;
QTEP: Quality-Aware Test Case Prioritization;FSE2017_71;yes;no;;;
Understanding the Impact of Refactoring on Smells:A Longitudinal Study of 23 Software Projects;FSE2017_72;yes;no;;;
Why Do Developers Use Trivial Packages? An Empirical Case Study on npm;FSE2017_8;yes;yes;na;Survey;
Measuring Neural Efficiency of Program Comprehension;FSE2017_9;yes;yes;av;fMRI study top-down/bottom-up compr, analysis on average;TD, BU, Syntax
A history-based matching approach to identification of framework evolution.pdf;ICSE12_01;yes;no;;;
A large scale exploratory analysis of software vulnerability life cycles.pdf;ICSE12_02;yes;no;;;
A Systematic Study of Automated Program Repair_Fixing 55 out of 105 Bugs for $8 Each.pdf;ICSE12_03;yes;no;;;
A tactic-centric approach for automating traceability of quality concerns.pdf;ICSE12_04;yes;no;;;
Active code completion.pdf;ICSE12_05;yes;yes;na;qualitative study;
Active refinement of clone anomaly reports.pdf;ICSE12_06;yes;no;;;
Ambient awareness of build status in collocated software teams.pdf;ICSE12_07;yes;yes;na;observation of developers over tool addon during longer period of time;
Amplifying tests to validate exception handling code.pdf;ICSE12_08;yes;no;;;
An automated approach to generating efficient constraint solvers.pdf;ICSE12_09;yes;no;;;
An empirical study about the effectiveness of debugging when random test cases are used.pdf;ICSE12_10;yes;yes;a;answered hypotheses based on aggregated data;4 debugging tasks based on 4 test cases (manually vs. automatically generated)
Asking and answering questions about unfamiliar APIs An exploratory study.pdf;ICSE12_11;yes;yes;na;purely qualitative;think-aloud protocols to identify types of questions
Automated analysis of CSS rules to support style maintenance.pdf;ICSE12_12;yes;no;;;
Automated detection of client-state manipulation vulnerabilities.pdf;ICSE12_13;yes;no;;;
Automated repair of HTML generation errors in PHP applications using string constraint solving.pdf;ICSE12_14;yes;no;;;
Automatic Input Recti?cation.pdf;ICSE12_15;yes;yes;s;different benchmarks and data formats are evaluated and discussed format-wise;different benchmarks and different file formats to evaluate effectiveness of automatic input correction
Automatic parameter recommendation for practical API usage.pdf;ICSE12_16;yes;yes;na;did not evaluate the tasks, but let participants aferwards answer 5 usability questions;
Automatically finding performance problems with feedback-directed learning software testing.pdf;ICSE12_17;yes;no;;;
Automating test automation.pdf;ICSE12_18;yes;yes;na;participants were recruited to create test cases to be executed automatically;
Axis_automatically fixing atomicity violations through solving control constraints.pdf;ICSE12_19;yes;no;;;
BALLERINA_automatic generation and clustering of efficient random unit tests for multithreaded code.pdf;ICSE12_20;yes;no;;;
Bug prediction based on fine-grained module histories.pdf;ICSE12_21;yes;no;;;
BugRedux_ reproducing field failures for in-house debugging.pdf;ICSE12_22;yes;no;;;
Build code analysis with symbolic evaluation.pdf;ICSE12_23;yes;yes;s;results for 6 tasks were presented in a table without discussion;6 programming tasks (details unkown)
CBCD_cloned buggy code detector.pdf;ICSE12_24;yes;no;;;
Characterizing Logging Practices in Open-Source Software;ICSE12_25;yes;no;;;
Combining functional and imperative programming for multicore software_an empirical study evaluating Scala and Java.pdf;ICSE12_26;yes;yes;a;aggregated values of weekly submissions of students;implementation of parallel program over course of semester
Content Classification of Development Emails;ICSE12_27;yes;no;;;
Crosscutting Revision Control System;ICSE12_28;yes;no;;;
Detecting and visualizing inter-worksheet smells in spreadsheets.pdf;ICSE12_29;yes;yes;both;"developers selected their complex spreadsheets and tested dependency visualizations; visualization was not sufficient for all detected smells, which the authors delayed then to future work";
Detecting similar software applications.pdf;ICSE12_30;yes;yes;a;;"36 tasks to create programs/libraries in various domains; three different search engines were evaluated based on these tasks"
Developer Prioritization in Bug Repositories;ICSE12_31;yes;no;;;
Development of auxiliary functions_should you be agile_an empirical assessment of pair programming and test-first programming.pdf;ICSE12_32;yes;yes;a;summed up the number of participants that produced incorrect and correct functions;several programming tasks
Disengagement in Pair Programming: Does It Matter?;ICSE12_33;yes;yes;na;purely qualitative based on observation and interviews;
Does organizing security patterns focus architectural choices.pdf;ICSE12_34;yes;yes;s;analysis happends task-wise, and conclusions based on single tasks that showed a difference;single tasks of evaluating software architectures
Enhancing Architecture-Implementation Conformance with Change Management and Support for Behavioral Mapping;ICSE12_35;yes;yes;s;three different case studies to evaluate new approach of architecture conformance ensurance;3 different cases
Generating obstacle conditions for requirements completeness.pdf;ICSE12_36;yes;no;;;
Generating Range Fixes for Software Configuration;ICSE12_37;yes;no;;;
Graph-Based Analysis and Prediction for Software Evolution;ICSE12_38;yes;no;;;
Graph-Based Pattern-Oriented, Context-Sensitive Source Code Completion;ICSE12_39;yes;no;;;
How do professional developers comprehend software.pdf;ICSE12_40;yes;yes;na;"purely qualitative based on observation and interviews; hypotheses generation";
Identifying Linux Bug Fixing Patches;ICSE12_41;yes;no;;;
Improving Early Detection of Software Merge Conflicts;ICSE12_42;yes;yes;a;6 tasks, between subjects design with three treatments, number of conflicts in all tasks was analyzed;"most likely to code or just type given code; detect/resolve arising merge conflicts"
Inferring Class Level Specifications for Distributed Systems;ICSE12_43;yes;no;;;
Inferring Method Specifications from Natural Language API Descriptions;ICSE12_44;yes;no;;;
Integrated Impact Analysis for Managing Software Changes;ICSE12_45;yes;no;;;
iTree: Efficiently Discovering High-Coverage Configurations Using Interaction Trees;ICSE12_46;yes;no;;;
Leveraging Test Generation and Specification Mining for Automated Bug Detection without False Positives;ICSE12_47;yes;no;;;
MagicFuzzer: Scalable Deadlock Detection for Large-Scale Applications;ICSE12_48;yes;no;;;
Maintaining Invariant Traceability through Bidirectional Transformations;ICSE12_49;yes;no;;;
make test-zesti: A Symbolic Execution Solution for Improving Regression Testing;ICSE12_50;yes;no;;;
Metadata invariants_checking and inferring metadata coding conventions;ICSE12_51;yes;no;;;
On the Naturalness of Software;ICSE12_52;yes;no;;;
Overcoming the challenges in cost estimation for distributed software projects.pdf;ICSE12_53;yes;yes;both;"estimation error and cost; costs are described as maximum, but also as average";
Partial evaluation of model transformations.pdf;ICSE12_54;yes;no;;;
Partial models: towards modeling and reasoning with uncertainty;ICSE12_55;yes;no;;;
Performance debugging in the large via mining millions of stack traces.pdf;ICSE12_56;yes;no;;;
Predicting Performance via Automated Feature-Interaction Detection;ICSE12_57;yes;no;;;
Privacy and utility for defect prediction_experiments with MORPH.pdf;ICSE12_58;yes;no;;;
Recommending Source Code for Use in Rapid Software Prototypes;ICSE12_59;yes;yes;a;several tasks, but never discuss how they are analyzed;Vague prototyping tasks, complete list is in online appendix
Reconciling Manual and Automatic Refactoring.pdf;ICSE12_60;yes;yes;a;refactoring tasks, 3 of 14 were complex and discussed in detail, but summary based on all tasks;refactoring tasks
Recovering Traceability Links between an API and Its Learning Resources;ICSE12_61;yes;no;;;
Reducing confounding bias in predicate-level statistical debugging metrics.pdf;ICSE12_62;yes;no;;;
Semi-automatically extracting FAQs to improve accessibility of software development knowledge.pdf;ICSE12_63;yes;yes;na;developers selected FAQs and according answers, that automatic approach generated/selected…;
Simulation-Based Abstractions for Software Product-Line Model Checking.pdf;ICSE12_64;yes;no;;;
Slicing MATLAB simulink models.pdf;ICSE12_65;yes;no;;;
Sound Empirical Evidence in Software Testing.pdf;ICSE12_66;yes;no;;;
Static detection of resource contention problems in server-side scripts.pdf;ICSE12_67;yes;no;;;
Statically checking API protocol conformance with mined multi-object specifications.pdf;ICSE12_68;yes;no;;;
Stride_search-based deterministic replay in polynomial time via bounded linkage.pdf;ICSE12_69;yes;no;;;
Synthesizing API usage examples.pdf;ICSE12_70;yes;yes;a;aggregated estimations for all comparisons;"comparison of two versions of textual description of class; 35 comparisons per participant"
Temporal analysis of API usage concepts.pdf;ICSE12_71;yes;no;;;
Test confessions_a study of testing practices for plug-in systems.pdf;ICSE12_72;yes;yes;na;purely qualitative approach on grounded theory;
Uncovering performance problems in Java applications with reference propagation profiling.pdf;ICSE12_73;yes;no;;;
Understanding integer overflow in C-C++.pdf;ICSE12_74;yes;no;;;
Use, Disuse, and Misuse of Automated Refactorings.pdf;ICSE12_75;yes;yes;na;observation of developers over tool addon during longer period of time;
Using dynamic analysis to discover polynomial and array invariants.pdf;ICSE12_76;yes;no;;;
Verifying client-side input validation functions using string analysis.pdf;ICSE12_77;yes;no;;;
What make long term contributors_ willingness and opportunity in OSS community.pdf;ICSE12_78;yes;no;;;
Where does this code come from and where does it go_integrated code history tracker for open source systems.pdf;ICSE12_79;yes;no;;;
Where should the bugs be fixed_More accurate information retrieval-based bug localization based on bug reports.pdf;ICSE12_80;yes;no;;;
WhoseFault_automatic developer-to-fault assignment through fault localization.pdf;ICSE12_81;yes;no;;;
WitchDoctor_IDE Support for Real-Time Auto-Completion of Refactorings.pdf;ICSE12_82;yes;no;;;
A characteristic study on failures of production distributed data-parallel programs;ICSE13_01;yes;no;;;
A learning-based method for combining testing techniques;ICSE13_02;yes;no;;;
A study of enabling factors for rapid fielding: combined practices to balance speed and stability;ICSE13_03;yes;yes;na;grounded theory;
An empirical study on the developers' perception of software coupling;ICSE13_04;yes;yes;a;most likely average of evaluation values;evaluation of 16 pairs of task regarding coupling, which was related to metrics
An evaluation of interactive test-driven labs with WebIDE in CS0;ICSE13_05;yes;yes;s;different tasks through course of semester, each task analyzed by itself;"different labs throught the semester, each of which was analyzed; concrete content/task of lab is unclear"
Analysis of user comments: an approach for software requirements evolution;ICSE13_06;yes;yes;na;qualitative study with think-aloud protocol;revise a software requirements specification document
Are your incoming aliases really necessary? counting the cost of object ownership;ICSE13_07;yes;no;;;
Assisting developers of big data analytics applications when deploying on hadoop clouds;ICSE13_08;yes;no;;;
Authentic assessment in software engineering education based on PBL principles: a case study in the telecom market;ICSE13_09;yes;yes;na;development of skills of interns over time;usefulness of se education as preparation for practice was assessed
Automated diagnosis of software configuration errors;ICSE13_10;yes;no;;;
Transfer defect learning;ICSE13_100;yes;no;;;
UML in practice;ICSE13_101;yes;yes;na;only interviews;
Unifying FSM-inference algorithms through declarative specification;ICSE13_102;yes;no;;;
User involvement in software evolution practice: a case study;ICSE13_103;yes;yes;na;interviews and hypothesis generation;
What good are strong specifications?;ICSE13_104;yes;no;;;
Why don't software developers use static analysis tools to find bugs?;ICSE13_105;yes;yes;na;interviews;
X-PERT: accurate identification of cross-browser issues in web applications;ICSE13_106;yes;no;;;
Automated reliability estimation over partial systematic explorations;ICSE13_11;yes;no;;;
Automated software architecture security risk analysis using formalized signatures;ICSE13_12;yes;no;;;
Automatic detection of performance deviations in the load testing of large scale systems;ICSE13_13;yes;no;;;
Automatic patch generation learned from human-written patches;ICSE13_14;yes;yes;a;hypotheses tests were conducted on average ratings of the patches;subjects evaluated 5 different patches, generated with 3 different approaches
Automatic query reformulations for text retrieval in software engineering;ICSE13_15;yes;no;;;
Automatic recovery from runtime failures;ICSE13_16;yes;no;;;
Automatic testing of sequential and concurrent substitutability;ICSE13_17;yes;no;;;
Beyond boolean product-line model checking: dealing with feature attributes and multi-features;ICSE13_18;yes;no;;;
Boa: a language and infrastructure for analyzing ultra-large-scale software repositories;ICSE13_19;yes;yes;s;not averaged, task-wise discussion of results;
Bridging the gap between the total and additional test-case prioritization strategies;ICSE13_20;yes;no;;;
Broken sets in software repository evolution;ICSE13_21;yes;no;;;
Cassandra: proactive conflict minimization through optimized task scheduling;ICSE13_22;yes;no;;;
Categorizing bugs with social networks: a case study on four open source software communities;ICSE13_23;yes;no;;;
Chronicler: lightweight recording to reproduce field failures;ICSE13_24;yes;no;;;
Comparative causality: explaining the differences between executions;ICSE13_25;yes;no;;;
Comparing multi-point stride coverage and dataflow coverage;ICSE13_26;yes;no;;;
Counter play-out: executing unrealizable scenario-based specifications;ICSE13_27;yes;no;;;
Coupling software architecture and human architecture for collaboration-aware system adaptation;ICSE13_28;yes;no;;;
Creating a shared understanding of testing culture on a social coding site;ICSE13_29;yes;yes;na;development and testing of questionnaire/testing strategies on Github;
Data clone detection and visualization in spreadsheets;ICSE13_30;yes;no;;;
Departures from optimality: understanding human analyst's information foraging in assisted requirements tracing;ICSE13_31;yes;yes;both;summarized for creating the models, but also looked at each task (use case) individually;"participants should discover connections between use cases; goal was to model the participants based on information foraging theory"
Detecting deadlock in programs with data-centric synchronization;ICSE13_32;yes;no;;;
Detecting inconsistencies in wrappers: a case study;ICSE13_33;yes;yes;na;I could not find the mention of human participants;
Detecting spurious counterexamples efficiently in abstract model checking;ICSE13_34;yes;no;;;
Discovering essential code elements in informal documentation;ICSE13_35;yes;no;;;
Distributed development considered harmful?;ICSE13_36;yes;no;;;
Does bug prediction support human developers? findings from a google case study;ICSE13_37;yes;yes;na;"interviews to categorize files as bug prone or not; 4-week observation period with new tool";no tasks
Drag-and-drop refactoring: intuitive and efficient program transformation;ICSE13_38;yes;yes;s;"Pairwise comparison of tasks and refactorings; no aggregation";refactoring tasks
Dual ecological measures of focus in software development;ICSE13_39;yes;no;;;
Dynamic synthesis of local time requirement for service composition;ICSE13_40;yes;no;;;
Efficient and change-resilient test automation: an industrial case study;ICSE13_41;yes;yes;na;"participants were recruited to create test cases to be executed automatically (follow-up of automating test automation; ICSE12_18)";
Efficient construction of approximate call graphs for JavaScript IDE services;ICSE13_42;yes;no;;;
Enabling a classroom design studio with a collaborative sketch design tool;ICSE13_43;yes;yes;na;evaluation of teaching method according to the technology acceptance model;
Engineering adaptive privacy: on the role of privacy awareness requirements;ICSE13_44;yes;no;;;
Estimating mobile application energy consumption using program analysis;ICSE13_45;yes;no;;;
Estimating software-intensive projects in the absence of historical data;ICSE13_46;yes;yes;s;estimation of costs for each feature;for cost estimation, features were defined, and two different evaluation methods based on features were evaluated against each other
Evaluating usefulness of software metrics: an industrial experience report;ICSE13_47;yes;yes;na;no tasks, rather interviews;
Expectations, outcomes, and challenges of modern code review;ICSE13_48;yes;yes;na;"purely qualitative to evaluate why developers do code reviews; interviews";
Explicating symbolic execution (xSymExe): an evidence-based verification framework;ICSE13_49;yes;no;;;
Exploring the impact of inter-smell relations on software maintainability: an empirical study;ICSE13_50;yes;yes;na;conducted a PCA with all 301 modified files, likely with all three maintenance tasks;3 maintenance tasks x 2 systems, think-aloud data to identify smells
Expositor: scriptable time-travel debugging with first-class traces;ICSE13_51;yes;no;;;
Feedback-directed unit test generation for C/C++ using concolic execution;ICSE13_52;yes;no;;;
Green streams for data-intensive software;ICSE13_53;yes;no;;;
GuideArch: guiding the exploration of architectural solution space under uncertainty;ICSE13_54;yes;yes;na;observation of developers over tool addon during longer period of time;no specific tasks
Guided test generation for web applications;ICSE13_55;yes;no;;;
How to effectively use topic models for software engineering tasks? an approach based on genetic algorithms;ICSE13_56;yes;no;;;
How, and Why, Process Metrics Are Better;ICSE13_57;yes;no;;;
Human performance regression testing;ICSE13_58;yes;no;;;
Improving feature location practice with multi-faceted interactive exploration;ICSE13_59;yes;yes;a;completion time for all tasks is used for analysis;several tasks selected from a benchmark
Industry involvement in ICT curriculum: a comparative survey;ICSE13_60;yes;yes;na;"purely qualitative; survey to identify gap in teaching between industry and universities";
Inferring likely mappings between APIs;ICSE13_61;yes;no;;;
Interaction-based test-suite minimization;ICSE13_62;yes;no;;;
Is time-zone proximity an advantage for software development? the case of the brazilian IT industry;ICSE13_63;yes;yes;na;interviews, no tasks, to evaluate whether time zone proximity/distance works for Brazilian IT companies;
It's not a bug, it's a feature: how misclassification impacts bug prediction;ICSE13_64;yes;no;;;
JST: an automatic test generation tool for industrial Java applications with strings;ICSE13_65;yes;no;;;
LASE: locating and applying systematic edits by learning from examples;ICSE13_66;yes;no;;;
Learning revised models for planning in adaptive systems;ICSE13_67;yes;no;;;
Managing non-functional uncertainty via model-driven adaptivity;ICSE13_68;yes;no;;;
Measuring architecture quality by structure plus history analysis;ICSE13_69;yes;no;;;
MIDAS: a design quality assessment method for industrial software;ICSE13_70;yes;no;;;
Mining SQL injection and cross site scripting vulnerabilities using hybrid program analysis;ICSE13_71;yes;no;;;
Observable modified Condition/Decision coverage;ICSE13_72;yes;no;;;
On the value of user preferences in search-based software engineering: a case study in software product lines;ICSE13_73;yes;no;;;
Partition-based regression verification;ICSE13_74;yes;no;;;
Path sensitive static analysis of web applications for remote code execution vulnerability detection;ICSE13_75;yes;no;;;
POPT: a problem-oriented programming and testing approach for novice students;ICSE13_76;yes;yes;s, but only one task;only one task to evaluate approach regarding time and number of submissions;
PorchLight: a tag-based approach to bug triaging;ICSE13_77;yes;yes;na;participants completed tasks, yet they were only interviewed and asked to rate the tool based on several questions;
Predicting bug-fixing time: an empirical study of commercial software projects;ICSE13_78;yes;no;;;
Program transformations to fix C integers;ICSE13_79;yes;no;;;
Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation;ICSE13_80;yes;yes;na;no single tasks to aggregate;
Reliability analysis in symbolic pathfinder;ICSE13_81;yes;no;;;
Requirements modelling by synthesis of deontic input-output automata;ICSE13_82;yes;no;;;
RERAN: timing- and touch-sensitive record and replay for Android;ICSE13_83;yes;no;;;
Reverb: recommending code-related web pages;ICSE13_84;yes;yes;na;analysis of browsing history and usage of new tool;no defined tasks
Robust Recon?gurations of Component Assemblies;ICSE13_85;yes;no;;;
Safe software updates via multi-version execution;ICSE13_86;yes;no;;;
Scaling agile methods to regulated environments: an industry case study;ICSE13_87;yes;yes;na;interviews to develop prototype;
Search-based genetic optimization for deployment and reconfiguration of software in the cloud;ICSE13_88;yes;no;;;
Segmented Symbolic Analysis;ICSE13_89;yes;no;;;
SemFix: program repair via semantic analysis;ICSE13_90;yes;no;;;
